,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,wr,std_rank
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7191589252615973,0.3319989832899821
2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.699952692303846,0.34287710452923725
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6996988121346444,0.434065365903106
4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7052582319441028,0.34104206467446724
5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.7023873581835761,0.33920806564886136
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7046801705710526,0.47921932639522974
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7150193864907155,0.34981197957278626
8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7159053676333975,0.3504225588818444
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7157072065774182,0.3760404832657638
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7076436971251294,0.35393316996102886
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.7128415274688877,0.37780411091505944
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.729030776057945,0.2921055592726908
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7026549937629906,0.3670760069652168
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7128530558222679,0.35192754206145466
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7119424769458579,0.34831827072698635
16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7031695737295233,0.36760731104690386
17,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.7005824729395218,0.4069371046859764
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7037902116616834,0.4530597729822598
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7077071920571424,0.3889109804316152
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.7036285382853482,0.43426466788673734
21,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.6973806535126259,0.36278296408279365
22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.7243648363072959,0.33842439126408036
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7166955493316216,0.3051217218670043
24,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7030899997642593,0.35842146048940915
25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7014633037299646,0.3634345904600862
26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7039688900568507,0.31535460899083867
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7019138845247133,0.37089610635180575
